Link,Name,Personal Links,Expertise,History 1 Title,History 1 Location,History 1 Start,History 1 End,History 2 Title,History 2 Location,History 2 Start,History 2 End,History 3 Title,History 3 Location,History 3 Start,History 3 End,History 4 Title,History 4 Location,History 4 Start,History 4 End,History 5 Title,History 5 Location,History 5 Start,History 5 End,History 6 Title,History 6 Location,History 6 Start,History 6 End,History 7 Title,History 7 Location,History 7 Start,History 7 End,History 8 Title,History 8 Location,History 8 Start,History 8 End,History 9 Title,History 9 Location,History 9 Start,History 9 End
https://openreview.net/profile?id=~Pietro_Sittoni1,Pietro Sittoni,Homepage (https://www.linkedin.com/in/pietro-sittoni-9ab1a9208/),deep equilibrium models; implicit neural networks,PhD student,Gran Sasso Science Institute (gssi.it) [IT],2023,Present,MS student,University of Padua (unipd.it) [IT],2021,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://openreview.net/profile?id=~Pontus_Stenetorp1,Pontus Stenetorp,Homepage (https://pontus.stenetorp.se); DBLP (https://dblp.org/pid/44/8358); ACL Anthology (https://aclanthology.org/people/p/pontus-stenetorp),Machine Reading Comprehension; Deep Learning; Natural Language Processing; Computational Linguistics; Biomedical Natural Language Processing,Full Professor,University College London (ucl.ac.uk) [GB],2023,Present,Associate Professor,University College London (ucl.ac.uk) [GB],2021,2023,Lecturer,University College London (ucl.ac.uk) [GB],2018,2021,Senior Research Associate,University College London (ucl.ac.uk) [GB],2017,2018,Research Associate,"University College London, University of London (ucl.ac.uk) [GB]",2015,2017,Postdoctoral Research Fellow,University of Tokyo (u-tokyo.ac.jp),2013,2015,Special Project Research Associate,National Institute of Informatics (nii.ac.jp) [JP],2013,2013,PhD student,University of Tokyo (u-tokyo.ac.jp) [JP],2010,2013,MSc Eng student,KTH Royal Institute of Technology (kth.se) [SE],2005,2010
https://openreview.net/profile?id=~QIANG_FU8,QIANG FU,Google Scholar (https://scholar.google.com/citations?user=gANaxT0AAAAJ&hl=zh-CN),reinforcement learning; deep learning,Principal Researcher,Tencent AI Lab (tencent.com) [CN],2019,Present,Senior Researcher,Tencent  (tencent.com) [CN],2013,2019,Researcher,Tencent (tencent.com) [CN],2011,2013,Researcher,Alibaba Group (alibaba.com) [CN],2009,2011,MS student,University of Science and Technology of China (ustc.edu.cn) [CN],2006,2009,,,,,,,,,,,,,,,,
https://openreview.net/profile?id=~Qichen_Ye1,Qichen Ye,Homepage (https://github.com/yeeeqichen); Google Scholar (https://scholar.google.com/citations?user=6MFWQPsAAAAJ&hl=zh-CN); DBLP (https://dblp.org/pid/333/0906),Natural Language Processing,Researcher,Alibaba Group (alibaba-inc.com) [CN],2024,Present,MS student,Peking University (pku.edu.cn) [CN],2021,2024,Undergrad student,Peking University (pku.edu.cn),2017,2021,,,,,,,,,,,,,,,,,,,,,,,,
https://openreview.net/profile?id=~Qingsong_Wen1,Qingsong Wen,Homepage (https://qingsongedu.github.io); Google Scholar (https://scholar.google.com/citations?user=vjPJvwYAAAAJ&hl=en); DBLP (https://dblp.org/pid/27/561); Semantic Scholar (https://www.semanticscholar.org/author/Qingsong-Wen/3308963); ORCID (https://orcid.org/0000-0003-4516-2524); LinkedIn (https://www.linkedin.com/in/qingsong-wen-22814156/); ACL Anthology (https://aclanthology.org/people/q/qingsong-wen/),time series; edtech; anomaly detection; AIOps; XAI; LLM; Agent; graph algorithms; graph computing; graph mining; signal processing; wireless communications; FPGA,Principal Researcher,Squirrel Ai Learning (squirrelai.com) [US],2023,Present,Researcher,Alibaba Group (alibaba-inc.com),2017,2023,PhD student,Georgia Institute of Technology (gatech.edu),2011,2017,,,,,,,,,,,,,,,,,,,,,,,,
https://openreview.net/profile?id=~Ron_Vainshtein1,Ron Vainshtein,DBLP (https://dblp.org/pid/336/9090); Semantic Scholar (https://www.semanticscholar.org/author/Ron-Vainshtein/2198486696); LinkedIn (https://www.linkedin.com/in/ron-vainshtein-284038192),Deep learning; Computer vision,MS student,"Technion - Israel Institute of Technology, Technion (technion.ac.il) [IL]",2018,Present,Undergrad student,"Technion - Israel Institute of Technology, Technion (technion.ac.il)",2013,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://openreview.net/profile?id=~Rongquan_Bai1,Rongquan Bai,Google Scholar (https://scholar.google.com/citations?user=A3r7apwAAAAJ&hl=zh-CN); ORCID (https://orcid.org/0000-0001-6166-4650); LinkedIn (https://www.linkedin.com/in/rongquan-bai-99050623b/),Computational Advertising,Researcher,Alibaba Group (alibaba-inc.com) [CN],2015,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://openreview.net/profile?id=~Ruihua_Song1,Ruihua Song,Google Scholar (https://scholar.google.com/citations?user=v5LctN8AAAAJ); DBLP (https://dblp.org/pid/s/RuihuaSong); ORCID (https://orcid.org/0000-0001-6036-9035); ACL Anthology (https://aclanthology.org/people/r/ruihua-song/),Multi-modality Understanding and Generation; Text Understanding and Generation; Information Retrieval and Extraction,Associate Professor,Renmin University of China (ruc.edu.cn) [CN],2020,Present,Researcher,Microsoft (microsoft.com) [CN],2003,2020,PhD student,Shanghai Jiao Tong University (sjtu.edu.cn) [CN],2006,2010,MS student,Tsinghua University (tsinghua.edu.cn) [CN],2000,2003,,,,,,,,,,,,,,,,,,,,
https://openreview.net/profile?id=~Runzhe_Zhan1,Runzhe Zhan,Homepage (http://runzhe.me/); Google Scholar (https://scholar.google.com/citations?user=7aKLE18AAAAJ); DBLP (https://dblp.org/pid/286/8257); Semantic Scholar (https://www.semanticscholar.org/author/Runzhe-Zhan/2051867267); ORCID (https://orcid.org/0000-0002-3175-6885); ACL Anthology (https://aclanthology.org/people/r/runzhe-zhan/),Natural Language Processing; Machine Translation,Postdoc,University of Macau (um.edu.mo) [MO],2026,Present,PhD student,University of Macau (um.edu.mo) [MO],2021,2025,MS student,University of Macau (um.edu.mo) [MO],2019,2021,,,,,,,,,,,,,,,,,,,,,,,,
https://openreview.net/profile?id=~S._M._Hozaifa_Hossain1,S. M. Hozaifa Hossain,LinkedIn (https://www.linkedin.com/in/hozaifa1),,Undergrad student,University of Dhaka (du.ac.bd) [BD],2002,Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://openreview.net/profile?id=~Sangyeon_Park1,Sangyeon Park,Homepage (https://sangyeon-park.github.io/); Google Scholar (https://scholar.google.com/citations?hl=ko&user=fMTWOWMAAAAJ); DBLP (https://dblp.org/pid/399/1771); Semantic Scholar (https://www.semanticscholar.org/author/Sangyeon-Park/2343824052); ORCID (https://orcid.org/0009-0004-4737-6926); LinkedIn (https://www.linkedin.com/in/sangyeon-park-rl/),plasticity loss; continual learning; reinforcement learning,MS student,Gwangju Institute of Science and Technology (gist.ac.kr) [KR],2023,2026,Undergrad student,Soongsil University (soongsil.ac.kr) [KR],2017,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
